key;jmeno;prijmeni;vek;deti;rodice;kralici;prumer
double;string;string;int;int;int;double;double
32
1;a;xxx;10;2;1;2.4;-0.5
2;b;yyy;56;3;0;123.8;-1.2
3;c;zzz;13;2;3;3.14;-2.2
4;d;xxx;23;1;6;1.41;3.1
5;a;xxx;76;3;10;8.833;5.2
6;b;zzz;99;3;22;2.44443;9.9
7;a;xxx;10;2;1;2.4;-0.5
8;b;yyy;56;3;0;123.8;-1.2
9;c;zzz;13;2;3;3.14;-2.2
10;d;xxx;23;1;6;1.41;3.1
11;a;xxx;76;3;10;8.833;5.2
12;b;zzz;99;3;22;2.44443;9.9
13;c;zzz;13;2;3;3.14;-2.2
14;d;bbb;23;1;6;1.41;3.1
15;a;xxx;76;3;10;8.833;5.2
16;b;aaa;99;3;22;2.44443;9.9
17;a;xxx;10;2;1;2.4;-0.5
18;b;yyy;56;3;0;123.8;-1.2
19;c;zzz;13;2;3;3.14;-2.2
20;d;xxx;23;1;6;1.41;3.1
21;a;xxx;76;3;10;8.833;5.2
22;b;zzz;99;3;22;2.44443;9.9
23;a;xxx;10;2;1;2.4;-0.5
24;b;yyy;56;3;0;123.8;-1.2
25;c;zzz;13;2;3;3.14;-2.2
26;d;xxx;23;1;6;1.41;3.1
27;a;xxx;76;3;10;8.833;5.2
28;b;zzz;99;3;22;2.44443;9.9
29;c;zzz;13;2;3;3.14;-2.2
30;d;bbb;23;1;6;1.41;3.1
31;a;xxx;76;3;10;8.833;5.2
32;b;aaa;99;3;22;2.44443;9.9
SELECT prijmeni, SUM(jmeno), MIN(key), MAX(key), MIN(vek), MAX(vek), SUM(deti), SUM(rodice), MIN(prumer), MAX(prumer) GROUP_BY prijmeni
